Episode,Epsilon,AvgReward,Collisions,Penalties
446,0.107465962283068,-1003.63978481826,150,0
447,0.106928632471653,-1003.93265465891,150,0
448,0.106393989309294,-1004.00894677924,150,0
449,0.105862019362748,-1004.3534513169,150,0
450,0.105332709265934,-1003.58698105544,150,0
451,0.104806045719604,-997.28370937774,149,0
452,0.104282015491006,-1003.76835277657,150,0
453,0.103760605413551,-1004.2054109717,150,0
454,0.103241802386484,-1003.63327322135,150,0
455,0.102725593374551,-1003.93706759633,150,0
456,0.102211965407678,-1004.13715142623,150,0
457,0.10170090558064,-1003.87386170548,150,0
458,0.101192401052737,-1003.66314420344,150,0
459,0.100686439047473,-1003.51422825547,150,0
460,0.100183006852236,-1003.78394106919,150,0
461,0.0996820918179746,-1003.88811626448,150,0
462,0.0991836813588847,-1004.11005177954,150,0
463,0.0986877629520903,-1004.00703524499,150,0
464,0.0981943241373299,-1003.74414129703,150,0
465,0.0977033525166432,-997.315718148742,149,0
466,0.09721483575406,-1003.81009516734,150,0
467,0.0967287615752897,-1003.94899499211,150,0
468,0.0962451177674132,-1003.82030583847,150,0
469,0.0957638921785762,-997.548500539967,149,0
470,0.0952850727176833,-1003.80377216881,150,0
471,0.0948086473540949,-1003.88308763269,150,0
472,0.0943346041173244,-1003.79303319793,150,0
473,0.0938629310967378,-1003.8580454613,150,0
474,0.0933936164412541,-1003.75188744116,150,0
475,0.0929266483590478,-1003.86418867875,150,0
476,0.0924620151172526,-1004.106420761,150,0
477,0.0919997050416663,-1004.24197330814,150,0
478,0.091539706516458,-1004.2751544238,150,0
479,0.0910820079838757,-1004.05445195566,150,0
480,0.0906265979439563,-1003.94921831352,150,0
481,0.0901734649542365,-1003.81311112007,150,0
482,0.0897225976294653,-1003.86740149073,150,0
483,0.089273984641318,-1003.85886804764,150,0
484,0.0888276147181114,-1003.46565808305,150,0
485,0.0883834766445208,-1003.91744442041,150,0
486,0.0879415592612982,-1003.81214067583,150,0
487,0.0875018514649917,-1004.04640312722,150,0
488,0.0870643422076668,-1003.68976772464,150,0
489,0.0866290204966285,-1004.015742706,150,0
490,0.0861958753941453,-1003.59066432239,150,0
491,0.0857648960171746,-1003.93531611136,150,0
492,0.0853360715370887,-1003.99824710155,150,0
493,0.0849093911794033,-1003.80397891346,150,0
494,0.0844848442235063,-1004.14754278036,150,0
495,0.0840624200023887,-1003.69409760388,150,0
